"subj_idx","response","rt","trialtype"
5000,0,1941,"IncStay"
5000,1,1191,"ConStay"
5000,1,545,"ConSwitch"
5000,1,1533,"ConSwitch"
5000,1,817,"IncStay"
5000,1,1138,"ConStay"
5000,0,830,"IncStay"
5000,1,1279,"IncSwitch"
5000,1,685,"ConStay"
5000,1,475,"ConStay"
5000,1,786,"IncSwitch"
5000,0,949,"ConSwitch"
5000,1,1552,"IncSwitch"
5000,0,419,"ConStay"
5000,1,509,"IncSwitch"
5000,1,610,"IncStay"
5000,1,564,"IncSwitch"
5000,1,703,"ConSwitch"
5000,1,749,"ConSwitch"
5000,1,833,"ConStay"
5000,0,873,"IncStay"
5000,1,576,"IncSwitch"
5000,0,562,"IncStay"
5000,1,334,"ConStay"
5000,1,475,"ConStay"
5000,1,314,"IncSwitch"
5000,1,480,"ConStay"
5000,0,446,"ConSwitch"
5000,0,815,"IncStay"
5000,1,352,"IncStay"
5000,1,260,"IncSwitch"
5000,0,668,"ConStay"
5000,0,1435,"IncStay"
5000,0,627,"ConSwitch"
5000,1,355,"ConSwitch"
5000,0,223,"IncSwitch"
5000,1,896,"ConSwitch"
5000,0,502,"IncStay"
5000,1,348,"ConSwitch"
5000,1,352,"IncStay"
5000,1,1660,"ConStay"
5000,0,747,"ConSwitch"
5000,1,950,"IncSwitch"
5000,0,474,"IncSwitch"
5000,0,589,"IncSwitch"
5000,0,928,"IncStay"
5000,0,763,"ConStay"
5000,0,638,"ConSwitch"
5000,0,622,"ConSwitch"
5000,0,1727,"IncSwitch"
5000,0,1050,"ConStay"
5000,0,786,"IncSwitch"
5000,1,1380,"IncSwitch"
5000,0,862,"ConStay"
5000,1,1069,"IncSwitch"
5000,0,676,"ConStay"
5000,0,1107,"ConStay"
5000,0,512,"ConStay"
5000,0,685,"IncSwitch"
5000,1,948,"ConSwitch"
5000,0,1087,"IncStay"
5000,0,1629,"IncSwitch"
5000,0,1285,"ConStay"
5000,0,379,"ConStay"
5000,0,438,"IncStay"
5000,0,534,"IncSwitch"
5000,0,523,"ConSwitch"
5000,0,240,"ConSwitch"
5000,0,272,"IncStay"
5000,1,224,"ConSwitch"
5000,0,1817,"IncStay"
5000,0,241,"IncSwitch"
5000,1,337,"ConStay"
5000,1,398,"IncStay"
5000,0,376,"IncSwitch"
5000,0,363,"IncSwitch"
5000,0,399,"ConStay"
5000,0,385,"ConSwitch"
5000,0,516,"IncStay"
5000,0,241,"ConStay"
5000,1,394,"ConSwitch"
5000,0,260,"IncStay"
5000,0,276,"IncSwitch"
5000,0,419,"ConSwitch"
5000,0,253,"IncStay"
5000,0,317,"ConStay"
5000,0,195,"ConSwitch"
5000,0,261,"ConStay"
5000,1,245,"IncSwitch"
5000,0,1082,"IncSwitch"
5000,0,632,"ConStay"
5000,0,641,"IncStay"
5000,1,1161,"ConSwitch"
5000,0,796,"ConSwitch"
5000,1,742,"IncSwitch"
5000,1,586,"IncSwitch"
5000,0,349,"ConStay"
5000,0,817,"ConStay"
5000,1,346,"ConSwitch"
5000,0,607,"ConStay"
5000,0,424,"IncSwitch"
5000,0,537,"IncSwitch"
5000,0,453,"ConSwitch"
5000,0,630,"ConSwitch"
5000,0,702,"ConSwitch"
5000,1,804,"IncSwitch"
5000,1,541,"ConStay"
5000,0,1305,"IncStay"
5000,0,534,"IncSwitch"
5000,0,755,"IncStay"
5000,0,287,"ConStay"
5000,0,333,"ConSwitch"
5000,1,298,"IncStay"
5000,0,473,"ConSwitch"
5000,0,248,"IncStay"
5000,0,73,"IncSwitch"
5000,1,912,"ConStay"
5000,0,957,"IncSwitch"
5000,1,544,"ConStay"
5000,1,1540,"IncStay"
5000,1,1263,"ConSwitch"
5000,0,542,"IncStay"
5000,1,522,"IncStay"
5000,0,679,"ConSwitch"
5000,0,630,"IncStay"
5000,0,1182,"ConSwitch"
5000,0,344,"ConSwitch"
5000,0,349,"ConSwitch"
5000,0,201,"IncStay"
5000,1,835,"IncStay"
5000,0,1132,"IncSwitch"
5000,1,928,"ConStay"
5000,0,1100,"IncStay"
5000,0,546,"ConSwitch"
5000,1,342,"ConSwitch"
5000,1,570,"ConStay"
5000,0,398,"ConSwitch"
5000,0,1544,"IncSwitch"
5000,1,795,"IncSwitch"
5000,0,765,"ConSwitch"
5000,1,856,"IncStay"
5000,0,1439,"IncStay"
5000,1,335,"IncSwitch"
5000,1,540,"ConStay"
5000,0,680,"ConSwitch"
5000,0,647,"ConSwitch"
5000,0,590,"ConStay"
5000,0,729,"IncStay"
5000,0,765,"IncSwitch"
5000,1,960,"IncStay"
5000,1,851,"ConStay"
5000,1,555,"ConSwitch"
5000,1,999,"ConSwitch"
5000,0,1281,"IncSwitch"
5000,0,1191,"ConStay"
5000,1,936,"ConStay"
5000,0,796,"IncStay"
5000,0,686,"IncSwitch"
5000,0,741,"IncStay"
5000,0,833,"IncSwitch"
5000,1,585,"ConSwitch"
5000,1,460,"ConStay"
5000,0,611,"ConStay"
5000,1,556,"ConStay"
5000,1,385,"IncStay"
5000,1,1043,"ConSwitch"
5000,0,499,"IncStay"
5000,1,617,"IncStay"
5000,1,722,"IncSwitch"
5000,1,839,"ConSwitch"
5000,1,999,"IncStay"
5000,1,808,"ConSwitch"
5000,0,977,"IncStay"
5000,0,660,"IncStay"
5000,0,788,"ConSwitch"
5000,0,485,"ConStay"
5000,1,820,"ConSwitch"
5000,1,1437,"IncSwitch"
5001,1,143,"ConSwitch"
5001,0,196,"IncStay"
5001,1,126,"IncStay"
5001,0,83,"ConStay"
5001,1,395,"ConSwitch"
5001,0,213,"IncSwitch"
5001,1,111,"ConStay"
5001,1,253,"ConSwitch"
5001,0,277,"ConSwitch"
5001,1,244,"IncSwitch"
5001,0,268,"IncStay"
5001,1,92,"IncSwitch"
5001,1,163,"ConStay"
5001,1,70,"IncStay"
5001,0,982,"ConSwitch"
5001,1,161,"IncStay"
5001,0,141,"ConStay"
5001,0,330,"ConSwitch"
5001,1,343,"IncSwitch"
5001,0,19,"IncSwitch"
5001,0,197,"IncSwitch"
5001,1,96,"IncSwitch"
5001,0,102,"IncStay"
5001,1,37,"ConStay"
5001,0,126,"ConSwitch"
5001,1,163,"ConStay"
5001,1,191,"IncStay"
5001,0,177,"ConSwitch"
5001,1,180,"ConStay"
5001,0,584,"ConStay"
5001,1,42,"IncStay"
5001,0,275,"ConSwitch"
5001,0,322,"IncStay"
5001,0,152,"IncSwitch"
5001,1,268,"ConSwitch"
5001,1,212,"IncStay"
5001,0,638,"ConStay"
5001,0,422,"ConStay"
5001,0,248,"IncSwitch"
5001,0,152,"IncSwitch"
5001,1,149,"IncSwitch"
5001,0,465,"ConStay"
5001,1,137,"ConSwitch"
5001,1,21,"IncStay"
5001,1,23,"IncStay"
5001,0,99,"ConSwitch"
5001,1,82,"ConStay"
5001,0,225,"IncSwitch"
5001,0,218,"ConStay"
5001,1,100,"IncSwitch"
5001,0,131,"IncStay"
5001,1,608,"IncStay"
5001,1,257,"IncSwitch"
5001,1,81,"ConStay"
5001,1,152,"ConStay"
5001,1,813,"ConSwitch"
5001,0,262,"ConStay"
5001,0,478,"IncStay"
5001,1,372,"IncStay"
5001,1,1216,"ConSwitch"
5001,1,938,"ConSwitch"
5001,1,542,"ConSwitch"
5001,0,162,"ConSwitch"
5001,1,94,"IncSwitch"
5001,0,652,"IncSwitch"
5001,0,116,"ConStay"
5001,1,346,"IncStay"
5001,0,255,"ConSwitch"
5001,1,78,"ConSwitch"
5001,0,118,"IncSwitch"
5001,0,243,"IncStay"
5001,1,164,"ConStay"
5001,0,400,"IncSwitch"
5001,1,218,"ConSwitch"
5001,1,204,"ConSwitch"
5001,0,662,"IncStay"
5001,1,853,"ConStay"
5001,1,1445,"IncSwitch"
5001,1,1013,"IncStay"
5001,1,878,"ConStay"
5001,1,940,"IncSwitch"
5001,1,1064,"ConStay"
5001,0,1591,"ConSwitch"
5001,1,801,"ConSwitch"
5001,1,1834,"ConSwitch"
5001,1,1722,"IncSwitch"
5001,1,734,"IncStay"
5001,1,1291,"IncStay"
5001,1,999,"IncSwitch"
5001,1,752,"ConStay"
5001,1,1500,"IncStay"
5001,1,969,"ConSwitch"
5001,1,965,"ConSwitch"
5001,1,1360,"IncSwitch"
5001,1,1122,"IncSwitch"
5001,1,1462,"ConStay"
5001,1,957,"ConStay"
5001,1,1016,"ConSwitch"
5001,1,1281,"ConStay"
5001,1,1407,"IncSwitch"
5001,1,1840,"IncSwitch"
5001,1,1047,"ConSwitch"
5001,1,542,"ConSwitch"
5001,1,914,"ConSwitch"
5001,1,1768,"IncSwitch"
5001,1,554,"ConStay"
5001,1,789,"IncStay"
5001,1,1065,"IncStay"
5001,1,880,"ConStay"
5001,1,1238,"ConSwitch"
5001,1,966,"IncStay"
5001,1,1257,"ConSwitch"
5001,1,608,"IncStay"
5001,0,873,"IncSwitch"
5001,0,1096,"ConStay"
5001,1,1037,"IncSwitch"
5001,1,1046,"ConStay"
5001,1,1357,"IncStay"
5001,1,1040,"ConSwitch"
5001,1,1512,"IncStay"
5001,1,588,"IncStay"
5001,1,1166,"ConSwitch"
5001,1,641,"IncStay"
5001,1,761,"ConSwitch"
5001,1,828,"ConSwitch"
5001,1,1045,"ConSwitch"
5001,1,589,"IncStay"
5001,1,935,"IncStay"
5001,1,827,"IncSwitch"
5001,1,636,"ConStay"
5001,1,620,"IncStay"
5001,1,1246,"ConSwitch"
5001,1,657,"IncSwitch"
5001,1,1296,"IncSwitch"
5001,1,1173,"ConSwitch"
5001,1,599,"IncStay"
5001,1,714,"ConStay"
5001,1,847,"IncSwitch"
5001,1,1063,"ConStay"
5001,1,1326,"IncSwitch"
5001,1,530,"ConStay"
5001,1,798,"ConSwitch"
5001,1,632,"IncStay"
5001,1,1113,"IncSwitch"
5001,1,1222,"ConSwitch"
5001,1,878,"IncStay"
