,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.8289035054,0.0375182272235,1.75758853918,1.80336641814,1.82757655302,1.85402840696,1.90162904923,0.000695532857705
a_std,0.3429892539,0.029893638478,0.290176395282,0.32254949772,0.341176494759,0.361295763081,0.407068323564,0.000626976344769
a_subj.5000,1.53093583285,0.0548730516519,1.42643868221,1.49264847733,1.52919828503,1.56866489148,1.63972119576,0.000892378783956
a_subj.5001,1.65427630178,0.0506842023771,1.55769073003,1.61853736253,1.65368431914,1.68821434444,1.75443860871,0.000868993442603
a_subj.5002,2.16216903058,0.139902179699,1.90718351493,2.06464643815,2.15651545704,2.25069611097,2.45613786203,0.00463319260121
a_subj.5003,2.01937512267,0.128782903987,1.79723575453,1.92669499591,2.01220705021,2.09747719185,2.30090951726,0.00399769920336
a_subj.5004,2.00320405195,0.135867341349,1.76390924249,1.90547077528,1.99067902641,2.0922978441,2.30003088456,0.00459705488743
a_subj.5005,2.1550073347,0.109105520448,1.95264995824,2.07998265772,2.1512993293,2.22528924772,2.38601963803,0.00245071682416
a_subj.5006,1.88740094902,0.124107314136,1.66606770524,1.80223675053,1.87966162534,1.96324965503,2.14861051463,0.00406616456673
a_subj.5007,1.5742627829,0.0863695664954,1.41956038388,1.51569152888,1.5689938233,1.62808046391,1.75776503097,0.0024863172899
a_subj.5008,2.12347997165,0.137561719646,1.88519257508,2.0294811459,2.112580444,2.20653464956,2.42597612889,0.00421457330987
a_subj.5009,1.80247423703,0.111428837732,1.60938152302,1.72275587672,1.79586717115,1.87272523785,2.03910258197,0.00329083871814
a_subj.5010,1.7267259663,0.086425368914,1.56764234902,1.66712515849,1.72297250335,1.78050714834,1.90474899289,0.00235889773334
a_subj.5011,1.76011827939,0.0971471991514,1.58178593099,1.69161370031,1.75678349109,1.82115259467,1.96843352606,0.00282688499255
a_subj.5012,1.64310285776,0.0822762884919,1.49762134752,1.58623237587,1.63751929594,1.69304671603,1.81985319207,0.00240944443775
a_subj.5013,2.00617762442,0.0825591978462,1.84990858574,1.9474202914,2.00370313071,2.06171919847,2.17757409444,0.00146138834442
a_subj.5014,1.8225469743,0.071903914531,1.68551300296,1.77265541831,1.82048576163,1.87068853493,1.96912764512,0.00147137968356
a_subj.5015,2.08696082412,0.128033377541,1.86197439205,1.99737032001,2.07976731258,2.16853193393,2.36706222477,0.00426620136482
a_subj.5016,1.62576230987,0.0671826214094,1.49054029391,1.58100112826,1.62632256935,1.67210029732,1.7528091371,0.00150237037553
a_subj.5017,2.04726094923,0.122343267792,1.82523946601,1.96136255046,2.03905609714,2.12509988191,2.31515563509,0.00369165553218
a_subj.5018,1.87750042211,0.0987393939066,1.69279724044,1.81080387154,1.87435633763,1.94003000817,2.08075315809,0.00259409982953
a_subj.5019,2.80846907838,0.230522311096,2.41687332853,2.64855722724,2.78776479527,2.94214932426,3.33027175874,0.00977326120217
a_subj.5020,2.07441609311,0.168963125343,1.77760701382,1.9551274475,2.06063984985,2.1765947671,2.43823020689,0.00647796396612
a_subj.5021,1.87706495611,0.115205410723,1.66412447316,1.79396679748,1.87266903863,1.95508900091,2.11018572144,0.00311196636035
