                              mean         std        2.5q         25q         50q        75q      97.5q       mc err
a                          1.82967   0.0379721     1.75411     1.80338     1.82989    1.85538    1.90373   0.00111211
a_std                     0.342832   0.0292051    0.289595    0.323181    0.341563    0.36068   0.403812  0.000986375
a_subj.5000                1.53105   0.0564246     1.42371     1.49324     1.52828    1.56911    1.64932     0.001602
a_subj.5001                1.65543   0.0505763     1.55854     1.62182     1.65489     1.6886     1.7598   0.00110956
a_subj.5002                2.18148    0.144583     1.93205      2.0784      2.1693    2.27388    2.49364   0.00699563
a_subj.5003                2.02241     0.12583     1.80511     1.93387     2.01084    2.10314     2.2979   0.00548504
a_subj.5004                 2.0121     0.13553     1.77258       1.919     2.00667    2.09624    2.29738   0.00637819
a_subj.5005                2.15064     0.10672     1.95367     2.07658     2.14611    2.22548    2.36462    0.0032943
a_subj.5006                1.87868     0.11951      1.6696     1.79395     1.87339    1.95426    2.13832   0.00480578
a_subj.5007                 1.5763   0.0841545     1.42207     1.51921     1.57175    1.62923      1.759   0.00310748
a_subj.5008                2.12721    0.134799     1.88608     2.03032     2.11948    2.21884    2.42156   0.00517262
a_subj.5009                1.80416    0.110722     1.59753     1.72763     1.80038    1.87636    2.03147   0.00485882
a_subj.5010                1.73011   0.0869597     1.56651     1.67191      1.7283    1.78462    1.91138   0.00343792
a_subj.5011                1.75925   0.0996433      1.5774      1.6938     1.75478    1.82294     1.9723   0.00420312
a_subj.5012                1.64966   0.0888375     1.49454     1.58768      1.6442    1.70544    1.84186   0.00357403
a_subj.5013                2.01022    0.082179     1.85319     1.95311     2.00547    2.06535    2.18174   0.00259077
a_subj.5014                1.81995   0.0698042     1.68921     1.77059     1.81735    1.86605     1.9613   0.00195647
a_subj.5015                2.08295    0.121746     1.85675      2.0022      2.0773    2.15681    2.34581   0.00546869
a_subj.5016                1.62224   0.0683955     1.48291     1.57751     1.62389    1.66755    1.75315   0.00221203
a_subj.5017                2.04917    0.119304     1.83417     1.96552     2.04027    2.12465    2.31471   0.00401552
a_subj.5018                1.87451   0.0977785     1.69641     1.80835     1.87209    1.93567    2.08581   0.00342195
a_subj.5019                2.81556    0.223642     2.45392     2.65104     2.79288    2.95008    3.32006    0.0122514
a_subj.5020                2.06767     0.15975     1.78497     1.95176     2.05622    2.17238    2.40621   0.00893224
a_subj.5021                1.88293    0.117396     1.66602     1.80259     1.87854    1.96081    2.12113   0.00530263
a_subj.5022                1.98847     0.13254     1.74146     1.89321     1.98707     2.0808    2.25995   0.00625202
a_subj.5023                1.16037   0.0377066     1.08674     1.13485     1.16059    1.18604    1.23396  0.000980089
a_subj.5024                1.41651   0.0540746     1.31673     1.38018     1.41401    1.45144     1.5286   0.00168735
