,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.80755759651,0.0377885452979,1.73504858111,1.78274098947,1.80646872232,1.83247315771,1.88469641361,0.00108918140392
a_std,0.343004525784,0.0309504800629,0.287294617119,0.321331356929,0.341053579422,0.362252153716,0.408379927994,0.00110403331276
a_subj.5000,1.53266952277,0.0551227477621,1.42766149746,1.49459701494,1.53054402296,1.56872900119,1.64692976876,0.00146395818204
a_subj.5001,1.65035349881,0.0502080928878,1.55834953485,1.61548524453,1.64842202032,1.68288906584,1.75663279748,0.00097227954655
a_subj.5002,2.10141342954,0.130795728203,1.868145369,2.00977626834,2.09342860274,2.18328160381,2.38534260289,0.00572836673257
a_subj.5003,2.02841183512,0.134851173515,1.78980032153,1.93508371438,2.01946609439,2.10897628995,2.3150988886,0.00631142776343
a_subj.5004,1.97992547883,0.135455168479,1.74556021056,1.88759416419,1.96841638967,2.05412637288,2.29254926791,0.00678206228901
a_subj.5005,2.05451176873,0.0980320155531,1.86627988746,1.986991182,2.05467084778,2.11746135276,2.25740953789,0.00321481783881
a_subj.5006,1.84815821826,0.115308454554,1.63944220444,1.76588829769,1.84645310685,1.91833124076,2.10242162566,0.00492277355127
a_subj.5007,1.5363233786,0.0785094484072,1.38895056456,1.48328379521,1.53494370999,1.58564425358,1.69968059518,0.0027613400935
a_subj.5008,2.08930973964,0.132799219042,1.86092742354,1.99308329963,2.07582100561,2.16949456487,2.40248598304,0.00602866697923
a_subj.5009,1.80709099973,0.109181661548,1.60639349281,1.73251722254,1.79997421819,1.8779606842,2.03493145755,0.00471962915958
a_subj.5010,1.69078400883,0.0824695506623,1.54318390852,1.63294508037,1.68627228383,1.74296566375,1.86802567161,0.0029243592429
a_subj.5011,1.76528001278,0.100058969728,1.5836764355,1.69520747973,1.75973557621,1.83231107544,1.96628421284,0.00436774398997
a_subj.5012,1.614017283,0.0825616665099,1.46947953986,1.55566541362,1.60827443165,1.6667843237,1.7884951705,0.00329817848476
a_subj.5013,1.9978456079,0.078922859989,1.85256375965,1.94230286053,1.99513289981,2.05118544481,2.15971416081,0.00209785279963
a_subj.5014,1.75615670497,0.0641341567804,1.63036307657,1.7142181272,1.75480256478,1.7971322458,1.88637434755,0.00182347617235
