                   mean         std        2.5q         25q         50q        75q      97.5q       mc err
a               1.80634   0.0382454     1.73364     1.78122     1.80542    1.83218    1.88531  0.000916614
a_std          0.343094   0.0305229    0.289866    0.321798    0.340638   0.362481     0.4086  0.000994313
a_subj.5000     1.53151   0.0557733     1.42646     1.49362     1.53093    1.56745    1.65046   0.00144054
a_subj.5001     1.64792   0.0509658     1.55574     1.61285     1.64564    1.67983    1.75463   0.00105862
a_subj.5002     2.09504    0.133714     1.85402     1.99995     2.08849    2.17943    2.38243   0.00571715
a_subj.5003     2.03215    0.130758     1.80122     1.94068     2.02406    2.11203     2.3106   0.00621299
a_subj.5004     1.99299    0.142879     1.74378     1.88955     1.98229     2.0824    2.29715   0.00704246
a_subj.5005      2.0535   0.0989806     1.87474     1.98375     2.05004    2.11524    2.26177   0.00299137
a_subj.5006     1.84642    0.118403     1.62907     1.76395     1.84069    1.92371    2.09556   0.00569441
a_subj.5007     1.53714   0.0818531     1.37816     1.48074     1.53508    1.59025    1.70782   0.00300733
a_subj.5008     2.09325    0.136059     1.85209     1.99981     2.08144    2.17701    2.39994      0.00643
a_subj.5009     1.82143    0.121649      1.6222       1.739     1.80704    1.89578    2.08867   0.00620512
a_subj.5010     1.68616   0.0796197     1.53906     1.63055     1.68261    1.73925    1.84862    0.0028007
a_subj.5011      1.7593   0.0966948     1.57683     1.69432      1.7562    1.82394    1.95332   0.00387416
a_subj.5012     1.61246   0.0814946     1.46511     1.55658     1.60869     1.6646    1.78507   0.00264363
a_subj.5013     1.99683   0.0807863     1.84713     1.94068     1.99545    2.05176     2.1599    0.0022731
a_subj.5014     1.75445   0.0634986     1.63446     1.71116     1.75314    1.79574    1.88523   0.00171322
a_subj.5015      2.0542      0.1197     1.82892     1.97027     2.05263    2.13199    2.29462   0.00500506
a_subj.5016     1.62453   0.0645938     1.49638     1.58137     1.62548    1.66823    1.74906   0.00207943
a_subj.5017      2.0437    0.126833     1.81446     1.95393     2.03895    2.12768    2.30805   0.00494266
a_subj.5018     1.84992    0.100584     1.66649     1.77906     1.84481    1.91523    2.06499   0.00313946
a_subj.5019     2.91664    0.290027     2.43986     2.70701     2.88251     3.0911    3.57097    0.0167563
a_subj.5020     2.12428    0.176111     1.81536     1.99715     2.11063     2.2394    2.50858    0.0104491
a_subj.5021     1.83451    0.110264     1.63433     1.75769     1.83267    1.90569    2.06166   0.00463456
